-arvoinen	-arvoidnen
käärig	gárit
kääskih	gáskit
käävci	gávci
käävcis	gávcis
kääđir	gáđir
käđirdiđ	gáđirdit
käškimčuáimâš	gáikimčoaimaš
käškirčuáimâš	gáikirčoaimaš
käžžimpeeli	gážžimpeali
laaddâg	láddat
laaddâh	láddat
laahâ	láha
laaiđâs	láiđas
laannjâđ	ládnjat
laannâđ	ládnat
laapâs	lápas
laasâ	lása
laaviđ	lávit
laavlâ	lávla
laavlâčuánjá	lávlačoanjá
laavlâčuáŋá	lávlačoaŋá
laavtâs	lávtas
laađâ	láđa
laađâs	láđas
laađđâđ	láđđat
labdastâh	labdastat
labdeđ	labdet
labdos	labdos
laddiittâh	laddihttat
laddâđ	laddat
laggâ	lagga
laggâstággu	laggastággu
lahcâ	lahca
lahhaaš	lahháš
lahteđ	lahtet
lahtos	lahtos
lahtâdiđ	lahtadit
lahtân	lahtan
lahtâvuotâ	lahtavuota
lahtâđ	lahtat
laijiđ	ladjit
laitâččâttâđ	laitahččadtat
laiđiittâs	laiđihttas
laiđiđ	laiđit
lakka	lahkka
lakkađ	lahkkat
lakke	lahkki
lakkiittiđ	lahkkihttit
lakknub	lahkknut
lakkuđ	lahkkut
lam	lan
lam vaaibâs	lam váibas
lammâšuđ	lapmašut
lamppu	lamhppu
landiđ	landit
lanjâsiđ	lanjasit
lanjâstiđ	lanjastit
lanne	ladni
lanâdâttâđ	lanadadtat
lappuustiđ	lahppustit
lappuustâllâđ	lahppustallat
lappuđ	lahpput
lappâd	lahppat
lappâsist	lahppasist
lapse	laksi
lapsum	laksun
larmâ	larbma
larmâdiđ	larbmadit
lasaniđ	lasanit
lasattâs	lasahttas
lase	lasi
lasehuámášuttem	lasehoamášuhtten
lasettiđ	lasehttit
lasniđ	lasnit
lastađ	lastat
lastiđ	lastit
lasâlijne	lasaldjni
lasâmield	lasamielt
lasâräigi	lasaráigi
latkiittiđ	latgihttit
latkiš	latgiš
lattim	lahttin
lattiđ	lahttit
lavdâđ	lavdat
lavjâttiđ	lavjadtit
lavkke	lavhkki
lavkkiittâh	lavhkkihttat
lavkkiđ	lavhkkit
lavkkâ	lavhkka
lavliistâllâđ	lavlistallat
lavnjekuáti	lavdnjekoati
lavnjođ	lavdnjot
lavviđ	lavvit
lavâdâs	lavadas
lavâlâš	lavalaš
lavđâ	lavđa
lavŋekuáti	lavŋekoati
lađâsijn	lađasdjn
lađâsist	lađasist
lađâstiđ	lađastit
lađâsááid	lađasáit
laŋgânem	laŋganen
laŋkkiđ	laŋhkkit
laŋŋiđ	laŋŋit
lašmâd	lašmat
lebbiđ	lebbit
lebbâniđ	lebbanit
leddiđ	leddit
leddâniđ	leddanit
ledâgiđ	ledagit
leehi	leahi
leeibâšk	leaibaik
leeilâ	leaila
leeji	leaji
leenâ	leana
leevvâd	leavvat
leeđi	leađi
leggistiđ	leggistit
leggistâttâđ	leggistadtat
lehâstiđ	lehastit
leiccidiđ	leihccidit
leihâšiđ	leihašit
leikkii	leihkki
leikkâ	leihkka
leilâ	leila
leirâ	leira
leirâstâllâđ	leirastallat
lekittâs	lekihttas
lekkâ	lehkka
lekkâsiđ	lehkkasit
lekkâđ	lehkkat
lemniđ	lemnit
lendittiđ	lendihttit
lendiđ	lendit
lennjiistiđ	lednjistit
levâniđ	levanit
levâttiđ	levadtit
leđe	leđi
leškiistiđ	leikistit
leškiđ	leikit
libžádiđ	libžádit
libžáđ	libžát
lieggiđ	lieggit
lieggâniđ	liegganit
liegistiđ	liegistit
liegâdiđ	liegadit
liegâs	liegas
liekkičielgi	liehkkičielgi
liemâ	liema
liemâstiđ	liemastit
lieppi	liehppi
lievgi	lievgi
lieđvi	lieđvi
liggoluđ	liggolut
lihmiđ	lihmit
lihmádittiđ	lihmádihttit
lihmádoh	lihmádot
lihâdem	lihaden
lihâdiđ	lihadit
lihâstâs	lihastas
lihâttiđ	lihadtit
lihâttuđ	lihadtut
liijká	lidjká
liijkás	lidjkás
liivzâs	livzas
liivâh	livat
lijgešodâlmâs	ldjgešodalbmas
lijgodiđ	ldjgodit
lijgođ	ldjgot
lijkkuuttettee	ldjhkkuhttehttei
lijkkuđ	ldjhkkut
lijme	ldjmi
lijmá	ldjmá
lijne	ldjni
likkođ	lihkkot
likkuš	lihkkuš
likkâmčalme	lihkkamčalbmi
likkâđ	lihkkat
likâttiđ	likadtit
limppođ	limhppot
lines	lidnes
linestiđ	lidnestit
linjâšauto	lidnjašauto
lippođ	lihppot
lippu	lihppu
lippustággu	lihppustággu
lipčeđ	lipčet
lirijdiđ	lirdjdit
lirrân	lirran
listo	listo
listá	listá
litodâttâđ	litodadtat
litte	lihtti
livgâsiđ	livgasit
livkettiđ	livkehttit
livkkâliđ	livhkkalit
livvoođ	livvot
livvuuttiđ	livvuhttit
livvuđ	livvut
livvâdiđ	livvadit
livzestiđ	livzestit
livârdiđ	livardit
livđe	livđi
livđuđ	livđut
liäbbud	leabbut
liäddud	leaddut
liädduđ	leaddut
liägus	leagus
liähmus	leahmus
liähtu	leahtu
liäibuđ	leaibut
liäjá	leajá
liäjádiđ	leajádit
liäksu	leaksu
liäpu	leapu
liäpčud	leapčut
liävháttiđ	leavháhttit
liävuttem	leavuhtten
liävuttuddâđ	leavuhttuddat
liävuttuđ	leavuhttut
liävvud	leavvut
liävvuđ	leavvut
liäčániđ	leačánit
liäđáhittiđ	leađáhihttit
liäškuliđ	leaikulit
liäškuđ	leaikut
liäškásiđ	leaikásit
liäškáđ	leaikát
liđijdiđ	liđdjdit
liške	liki
liškekonnâ	likekodna
liškeloh	likelot
liškesoovsâ	likesovsa
liškáduđ	likádut
lobâdiđ	lobadit
loccâ	lohcca
loddiđ	loddit
loddááš	loddáš
lodejyelgi	lodejuolgi
lodekozzâ	lodekozza
lodeluoddâ	lodeluodda
lodetikke	lodetihkki
loggeđ	logget
lohhee	lohhei
lohhiđ	lohhit
lohtuđ	lohtut
lohtâ	lohta
loigâniđ	loiganit
loigâttâh	loigadtat
loigâđ	loigat
loijoođ	lodjot
loje	loji
lojodiđ	lojodit
lokke	lohkki
lones	lones
lonestiđ	lonestit
lonje	lonji
lonjo	lonjo
lonnjoođ	lodnjot
lonnjâ	lodnja
lonnoom	lodnon
lonnoođ	lodnot
lonottiđ	lonohttit
lonástâs	lonástas
loommâđ	lopmat
loopâst	lopast
loovdâ	lovda
loovnâ	lovdna
loovnâs	lovdnas
loovtâ	lovta
loová	lová
loppiittiđ	lohppihttit
loppiittâs	lohppihttas
loppim-	lohppim-
loppimmielkki	lohppipmielhkki
loppâ	lohppa
loppâniđ	lohppanit
loppâsiđ	lohppasit
loptosist	loktosist
loptosân	loktosan
lopâlávt	lopalávt
lopâttiđ	lopadtit
lopâttâs	lopadtas
loskeđ	losket
loskâđ	loskat
lossoođ	lossot
lostâ	losta
lostâväldimpieggâ	lostaváldimpiegga
losâliđ	losalit
lote	loti
lovdâččiđ	lovdahččit
lovdâšuđ	lovdašut
love	lovi
loves	loves
lovkkâliđ	lovhkkalit
lovniđ	lovdnit
lovottâh	lovohttat
lovottâhvuárkká	lovohttahvoarhkká
lovvááš	lovváš
lovádâs	lovádas
loválâš	loválaš
lozzâniđ	lozzanit
ložžiistiđ	ložžistit
ložžiđ	ložžit
luddiđ	luddit
luggo	luggo
luhhii	luhhi
luholâš	luholaš
luhostuđ	luhostut
luhottem	luhohtten
luhottesvuotâ	luhohttesvuota
luhottuđ	luhohttut
luhâlâhčâđ	luhalakčat
luhâmettum	luhamehttun
luisteliđ	luistelit
lukko	luhkko
lukkuđ	luhkkut
lukkuš	luhkkuš
luksâdiđ	luksadit
lulláđ	lullát
lummo	lupmo
lummâ	lupma
lunne	ludni
lunnees	ludneas
lunnáád	ludnát
lunnáán	ludnán
luobdâđ	luobdat
luobâl	luobal
luoddiistâllâđ	luoddistallat
luoddiđ	luoddit
luoddâ	luodda
luoddânem	luoddanen
luodâstiđ	luodastit
luohtâ	luohta
luohčâđ	luokčat
luoihâs	luoihas
luoihâttiđ	luoihadtit
luoikkâđ	luoihkkat
luoimâđ	luoimat
luokka	luohkka
luommiđ	luopmit
luonniđ	luodnit
luoskâniđ	luoskanit
luostâg	luostat
luovviđ	luovvit
luovâniđ	luovanit
luovâs	luovas
luovâsmiđ	luovasmit
luovâspáárnáš	luovaspárnáš
luovâsvuotâ	luovasvuota
luovâsvyeje	luovasvuoji
luođiđ	luođit
luođâ	luođa
luoštuđ	luoitut
luptiđ	luktit
luptâ	lukta
luptâniđ	luktanit
luptâstâh	luktastat
luskuđ	luskut
lusme	lusmi
lussâd	lussat
lussâdvuotâ	lussadvuota
lustiđ	lustit
lusto	lusto
lustottem	lustohtten
luuhâmoornig	luhamornit
luuhâđ	luhat
luuppâđ	luhppat
luusâ	lusa
luusâd	lusat
luusân	lusan
luusâs	lusas
luuvâ	luva
luvveđ	luvvet
luvâhánnáá	luvahádná
luvâstiđ	luvastit
luvâttuh	luvadtut
luvâttâllâm	luvadtallan
luádduđ	loaddut
luáduttâh	loaduhttat
luáidu	loaidu
luákki	loahkki
luákká	loahkká
luámi	loami
luámu	loamu
luánáttuđ	loanáhttut
luáptiđ	loaktit
luási	loasi
luátis	loatis
luátu	loatu
luávdiliđ	loavdilit
luávdiđ	loavdit
luávittiđ	loavihttit
luávkkiđ	loavhkkit
luávkku	loavhkku
luáváttus	loaváhttus
luáváttâh	loaváhttat
luáčániđ	loačánit
luáđhus	loađhus
luáđjá	loađjá
luáŋkkuđ	loaŋhkkut
luáštádâttâđ	loaitádadtat
luážus	loažus
luážži	loažži
luččâtavdâ	luhččadavda
luđgáđ	luđgát
luđŋâniđ	luđŋanit
luŋkke	luŋhkki
luŋkkepelji	luŋhkkepelji
luŋâniđ	luŋanit
lyeme	luomi
lyeni	luoni
lyenilitte	luonilihtti
lyeppih	luohppit
lyevdi	luovdi
lyevi	luovi
lyeštiđ	luoitit
lábbásâš	lábbásaš
láddu	láddu
lággu	lággu
lágádâs	lágádas
láhupieggâ	láhupiegga
láirá	láirá
láittádâttâđ	láihttádadtat
láivudiđ	láivudit
lápčud	lápčut
lápčániđ	lápčánit
lássá	lássá
lástu	lástu
lávdástem	lávdásten
lávguääldis	lávguáldis
lávguđ	lávgut
lávkkuđ	lávhkkut
lávlumjuávkku	lávlumjoavhkku
lávluđ	lávlut
lávurdâh	lávurdat
lávárdâh	lávárdat
lávástâh	lávástat
lááitus	láitus
lááju	láju
láámmuđ	lápmut
lááppuđ	láhpput
láássáš	lássáš
láávvuđ	lávvut
láškuttâllâđ	láikuhttallat
láškuđ	láikut
lášká	láiká
láškášiđ	láikášit
lášmuttâllâm	lášmuhttallan
läbži	lábži
läbžiloje	lábžiloji
läbžimáátu	lábžimátu
läbžipallee	lábžipallei
läddilâš	láddilaš
lähji	láhji
läigi	láigi
läittilistiđ	láihttilistit
läittiđ	láihttit
läjidiđ	lájidit
läpittiđ	lápihttit
lättee	láhttei
lätteeráánu	láhttearánu
lävgistiđ	lávgistit
lävvid	lávvit
lävvidiđ	lávvidit
lääbis	lábis
lääbžipeeli	lábžipeali
läämi	lámi
lääni	láni
läätis	látis
läättinrassi	láhttidnrassi
lääđi	láđi
lääđis	láđis
läđisváimusâš	láđisváimusaš
läđđee	láđđei
läški	láiki
maadâ	máda
maadâpieggâ	mádabiegga
maahâ	máha
maaijuv	mádjuv
maainâs	máidnas
maaizâs	máizas
maajeeb	májeat
maajeeld	májealt
maajeeldceehis	májealdceahis
maajeeldhaŋgâ	májealdhaŋga
maajeeldpuáttee	májealdpoahttei
maajooš	májoš
maakkan	máhkkan
maaldâs	máldas
maalâ	mála
maannâđ	mádnat
maassâd	mássat
maasâd	másat
maavâ	máva
maađij	máđdj
maaŋgkerdanneem-	máŋgkerdadneam-
maaŋgâ-	máŋga-
maaŋgâlágán	máŋgalágán
maaŋgâmuáđusâš	máŋgamoađusaš
maaŋgâmuđusâš	máŋgamuđusaš
maaŋgâs	máŋgas
maaššiđ	máššit
maaššâl	máššal
maaššâđ	máššat
mabdem	mabden
macâttiđ	macadtit
madduuh	maddut
maddâgâs	maddagas
madrâs	madras
madâppieggâ	madabpiegga
madârákku	madaráhkku
magasin	magasidn
maggaar	maggár
maggaargin	maggárgidn
mahkeđ	mahget
maht	maht
mahte	mahti
mahten	mahten
mai	mai
maid	mait
maigârdeijee	maigardedjei
maijuu	madju
mainâstiđ	maidnastit
mainâšiđ	maidnašit
maivâ	maiva
maiziđ	maizit
maizâđ	maizat
majebáš	majebáš
majediđ	majedit
majemustáá	majemustá
majemuš	majemuš
majettuddâđ	majehttuddat
majettuđ	majehttut
makkuu	mahkku
makkuđ	mahkkut
maksuđ	maksut
maldâđ	maldat
malli	malli
mane	mani
maneks	maneks
manje	manji
manjepeeli	manjepeali
mannekiin	madnekidn
manneš	madneš
mannjeed	madnjeat
manâdiđ	manadit
manâttâttâđ	manadtadtat
markkân	marhkkan
markkânmaainâs	marhkkanmáidnas
markkânsaahâ	marhkkansáha
markkânâššâđ	marhkkanaššat
masa	masa
materiaal	materiál
materiaallâš	materiállaš
mattâđ	mahttat
mavređ	mavret
mavsâttiđ	mavsadtit
mađe	mađi
mađhâšeijee	mađhašedjei
mađhâšiđ	mađhašit
maŋa	maŋa
maŋadist	maŋadist
maŋaniđ	maŋanit
maŋanuđ	maŋanut
maŋas	maŋas
maŋediđ	maŋedit
maŋelub	maŋelut
maŋeláhháá	maŋeláhhá
maŋeláá	maŋelá
maŋgii	maŋgi
maŋgâ	maŋga
maŋŋaal	maŋŋál
maŋŋaalsis	maŋŋálsis
mecci	mehcci
meccuđ	mehccut
meddiđ	meddit
meehkâs	meahgas
meeli	meali
meendu	meandu
meeri	meari
meeris	mearis
meerris	mearris
meeđđiđ	meađđit
mehkâliđ	mehgalit
meid	meit
meidiđ	meidit
meinađ	meidnat
melguu	melgu
melguui	melgui
melgâd	melgat
melodia	melodia
mere	meri
merettem	merehtten
merhâšem	merhašen
merhâšijjee	merhašdjjei
merhâšittee	merhašihttei
merhâšiđ	merhašit
merhâšume	merhašumi
meridiđ	meridit
merkkim	merhkkin
merkkiđ	merhkkit
merkkuđ	merhkkut
merkkâ	merhkka
merkkâdiđ	merhkkadit
merâriddo	merariddo
merâtuhtuu	meraduhtu
mestâ	mesta
meteor	meteor
mevristiđ	mevristit
međkki	međhkki
miehtâ	miehta
miehâr	miehar
miehâđ	miehat
miekki	miehkki
mieldi	mieldi
mieldis	mieldis
mielgâs	mielgas
mielgâtähti	mielgadáhti
mielkki	mielhkki
mielli	mielli
mielâ	miela
mielâsâš	mielasaš
mielâttuđ	mieladtut
mielâvääni	mielaváni
mieskii	mieski
mieskâs	mieskas
mieskâđ	mieskat
miestâdiđ	miestadit
miestâs	miestas
miestâđ	miestat
mietimái	mietimái
mieđediđ	mieđedit
mihheen	mihhean
mii	mi
miinii	midni
miinstâr	midnstar
mij	mdj
millođ	millot
minttu	midnhttu
mirhâttiđ	mirhadtit
mirkkiđ	mirhkkit
mirkkâ	mirhkka
mirkkâdiđ	mirhkkadit
mis	mis
missiđ	missit
misso	misso
mittediđ	mihttedit
mitto	mihtto
mittomeeri	mihttomeari
miäcásteijee	meacástedjei
miäddádiđ	meaddádit
miähkáđ	meahgát
miähástâh	meahástat
miäháttiđ	meaháhttit
miäidáttuvah	meaidáhttuvat
miäináđ	meaidnát
miäldus	mealdus
miäldád	mealdát
miäldálâs	mealdálas
miäldán	mealdán
miälgui	mealgui
miälgus	mealgus
miälluđ	meallut
miälástiđ	mealástit
miändu	meandu
miärkkum	mearhkkun
miärkkuđ	mearhkkut
miärkká	mearhkká
miärkká-	mearhkká-
miäruštâllâđ	mearuitallat
miärádâs	mearádas
miäsmuđ	measmut
miästájuđ	meastájut
miästáđ	meastát
miätá	meatá
miäđuštiđ	meađuitit
miäđáápeln	meađápeln
moddii	moddi
moggediđ	moggedit
mohtâ	mohta
mohtâdiđ	mohtadit
mohástâllâđ	mohástallat
moijooh	modjot
moijáđ	modját
moive	moivi
mokke	mohkki
mokkádistiđ	mohkkádistit
mollâ	molla
molsođ	molsot
molârdiđ	molardit
mon	mon
mondiet	mondiet
monmit	monmit
monnjâkiistâ	modnjagista
monnjâpurrâmâš	modnjaburramaš
monâdiđ	monadit
monâliđ	monalit
monâttittee	monadtihttei
monâttiđ	monadtit
moollâđ	mollat
moolâ	mola
moonjiš	monjiš
moonnâđ	modnat
moovsâš	movsaš
moovtig	movtit
more	mori
morettiđ	morehttit
morrumjieŋâ	morrumjieŋa
morruđ	morrut
mortottiđ	mortohttit
morániđ	moránit
morâttâh	moradtat
morčes	morčes
morčessuonâ	morčessuona
moskod	moskot
moskodiđ	moskodit
moskos	moskos
moskottiđ	moskohttit
mostođ	mostot
motomin	motomidn
mottâ	mohtta
movssiđ	movssit
movstáskiđ	movstáskit
movtijdiđ	movtdjdit
mođárdittiđ	mođárdihttit
muddo	muddo
muddáág	muddát
mudágistiđ	mudágistit
mudágâš	mudágaš
mudârdiđ	mudardit
mugâgiđ	mugagit
muh	mut
muide	muidi
muidego	muidego
muigâgiđ	muigagit
muigâniđ	muiganit
muijâsiđ	mudjasit
muijâsâddâđ	mudjasaddat
muikku	muihkku
muiviđ	muivit
muivâšum	muivašun
muivâšuđ	muivašut
mukkâsiđ	muhkkasit
muldesäplig	muldesáplit
mulijdiđ	muldjdit
mullân	mullan
mullârdiđ	mullardit
mulže	mulži
mulžekeđgi	mulžekeđgi
mulžáttiđ	mulžáhttit
mun	mun
munejuurdâ	munejurda
muoi	muoi
muoldâg	muoldat
muorrii	muorri
muorriđ	muorrit
muorâ	muora
muorâid	muorait
muorâluáddumsaje	muoraloaddumsaji
muorâsaje	muorasaji
muorâsáigu	muorasáigu
muorâttem	muoradten
muorâčeppi	muoračehppi
muottuuttem	muohttuhtten
muottuđ	muohttut
muotâ	muota
muotâkierâ	muotagiera
muotâččiđ	muotahččit
muovlâ	muovla
muođđâl	muođđal
muošnu	muošnu
murduđ	murdut
murijdiđ	murdjdit
murriš	murriš
murâšlâš	murašlaš
murâštiđ	muraitit
muršâ	murša
murššâ	muršša
musikkár	musihkkár
must	must
mut	mut
mutteđ	muhttet
muttuđ	muhttut
muulsâiähtu	mulsaeahtu
muulsâiävtulâš	mulsaeavtulaš
muuneeld	munealt
muurâš	muraš
muuttâđ	muhttat
muuzzig	muzzit
muuzzigjievjâ	muzzigjievja
muuzzigčuoivâg	muzzigčuoivat
muvgâgiđ	muvgagit
muvrediđ	muvredit
muvzáđ	muvzát
muáccuđ	moahccut
muáculiđ	moaculit
muáddi	moaddi
muáddá	moaddá
muádis	moadis
muáijuđ	moadjut
muáittiđ	moaihttit
muáitus	moaitus
muáiđoo-	moaiđo-
muálhujuolgij	moalhujuolgdj
muálkki	moalhkki
muálkkiluttiđ	moalhkkiluhttit
muálkkuđ	moalhkkut
muálkkásiđ	moalhkkásit
muálkkáá	moalhkká
muári	moari
muárráá	moarrá
muáráskiđ	moaráskit
muáráttuđ	moaráhttut
muássáá	moassá
muásá	moasá
muáti	moati
muáttoo	moahtto
muátástâllâđ	moatástallat
muávruđ	moavrut
muáđuh	moađut
muáđá	moađá
muáđđâl	moađđal
mučásmiđ	mučásmit
mučâsmiđ	mučasmit
mučâšiđ	mučašit
muččáđ	muhččát
muččâd	muhččat
muččâdvuotâ	muhččadvuota
muččâdávt	muhččadávt
mušteđ	muitet
mušto	muito
muštottiđ	muitohttit
muštottuđ	muitohttut
muštáđ	muitát
muštâliđ	muitalit
myeiđi	muoiđi
myelliđ	muollit
myenster	muonster
myerji	muorji
myerssee	muorssei
myesi	muosi
myesittem	muosihtten
myessid	muossit
máccuđ	máhccut
máddá	máddá
máddániđ	máddánit
máhđulâš	máhđulaš
máksu	máksu
máksá	máksá
málástâllâđ	málástallat
mánudâš	mánudaš
mánuppaje	mánuhppaji
mánuvaajâs	mánuvájas
mánuvuáđu	mánuvoađu
mánálâš	mánálaš
márdu	márdu
márfuđ	márfut
máttu	máhttu
máttáátteijee	máhttáhttedjei
máttááttiđ	máhttáhttit
máttááttuđ	máhttáhttut
máttááttâllâđ	máhttáhttallat
máttááttâs	máhttáhttas
máttáđ	máhttát
mávsulâš	mávsulaš
mávutteijee	mávuhttedjei
mááccuh	máhccut
mááddáš	máddáš
máádás	mádás
mááhu	máhu
mááinuh	máidnut
mááináš	máidnáš
máánnud	mádnut
máánu	mánu
máánuniäljádâs	mánunealjádas
mááŋgus	máŋgus
máášu	mášu
máđhálâš	máđhálaš
mášuttuđ	mášuhttut
mäcci	máhcci
mäddeeb	máddeat
mäddi	máddi
mäddin	máddidn
mädibâš	mádibaš
mädimus	mádimus
mäihli	máihli
mäini	máidni
mäinittem	máidnihtten
mäksiđ	máksit
mälisteijee	málistedjei
mälistiđ	málistit
mäličääci	máličáci
mälttiđ	málhttit
mänidiđ	mánidit
märfi	márfi
mätki	mátgi
mätkipuhelin	mátgipuhelidn
mättim	máhttin
mättiđ	máhttit
mävsittiđ	mávsihttit
määddib	máddit
määli	máli
määlis	mális
määđhi	máđhi
määššil	máššil
na	na
naa	ná
naabur	nábur
naagâs	nágas
naaijâđ	nádjat
naalâh	nálat
naappâl	náhppal
naarvâ	nárva
naavcah	návcat
naba	naba
nabai	nabai
nabdastâllâđ	nabdastallat
nabdem	nabden
nabdestiđ	nabdestit
nabdeđ	nabdet
naggiđ	naggit
naggâ	nagga
naggâsávt	naggasávt
nahcii	nahci
nahciđ	nahcit
nahcâ	nahca
nahettiđ	nahehttit
nahettâttâđ	nahehttadtat
nakkaniđ	nahkkanit
nalgâniđ	nalganit
nalgâđ	nalgat
nalâčuárvi	nalačoarvi
nanodiđ	nanodit
nanos	nanos
nanosmittiđ	nanosmihttit
nanošiđ	nanošit
napâlâššâđ	napalaššat
narriđ	narrit
natriumkarbonaat	natriumgarbonát
navcâttem	navcadten
navcâttuđ	navcadtut
navliittuđ	navlihttut
navvoođ	navvot
neeljis	nealjis
neepi	neapi
nelgi	nelgi
nelji	nelji
neljii	nelji
neppir	nehppir
nevli	nevli
nevttiđ	nevhttit
niddeđ	niddet
nieidiđ	nieidit
nieidâ	nieida
nieidâpärni	nieidabárni
niekki	niehkki
nierâ	niera
nierâuáivi	nieraoaivi
nievri	nievri
nievridiđ	nievridit
nievriht	nievriht
nievt	nievt
niirrâđ	nirrat
niisu	nisu
nijbesääni	ndjbesáni
nijsâ	ndjsa
nijtteđ	ndjhttet
nijtto	ndjhtto
nirráá	nirrá
nirvođ	nirvot
niske	niski
nisonistiđ	nisonistit
nissoon	nisson
nissoođ	nissot
nistettiđ	nistehttit
nisteđ	nistet
nivkkeđ	nivhkket
nivkkođ	nivhkkot
nivsettiđ	nivsehttit
niälguđ	nealgut
niälgádiđ	nealgádit
niälgáá	nealgá
niävrániđ	neavránit
niävráá	neavrá
niävttár	neavhttár
niävvu	neavvu
niävvuđ	neavvut
niŋálâs	niŋálas
njaahâđ	njáhat
njaajâ	njája
njaalgâsiähá	njálgaseahá
njaammâđ	njápmat
njaavvâl	njávval
njaddee	njaddei
njaddeđ	njaddet
njaddo	njaddo
njaddodiđ	njaddodit
njadestiđ	njadestit
njados	njados
njadostiđ	njadostit
njagottiđ	njagohttit
njahče	njakči
njalahistiđ	njalahistit
njalahâs	njalahas
njalaniđ	njalanit
njaldeđ	njaldet
njale	njali
njalhostiđ	njalhostit
njalloođ	njallot
njalmušiđ	njalbmušit
njalpettiđ	njalpehttit
njamasiđ	njamasit
njamauáiváš	njamaoaiváš
njamma	njapma
njammeepärni	njapmeapárni
njarbisuáivi	njarbisoaivi
njarbâd	njarbat
njargâ	njarga
njave	njavi
njavhâstiđ	njavhastit
njavkke	njavhkki
njavkkâđ	njavhkkat
njavâttiđ	njavadtit
njeeccih	njeahccit
njeeccihmiehtâ	njeahccihmiehta
njeeijiđ	njeadjit
njeeijâm	njeadjan
njeeijâđ	njeadjat
njeeri	njeari
njeidiđ	njeidit
njeđgâđ	njeđgat
njibžettiđ	njibžehttit
njibžeđ	njibžet
njieccâđ	njiehccat
njiesâs	njiesas
njihe-	njihe-
njihhood	njihhot
njihinjistiđ	njihidnjistit
njihânjistiđ	njihanjistit
njiihâđ	njihat
njiittâđ	njihttat
njilkkâliđ	njilhkkalit
njirro	njirro
njirtottâh	njirtohttat
njirttođ	njirhttot
njiskođ	njiskot
njiviččenkálgu	njivihččenkálgu
njivkkeđ	njivhkket
njivle	njivli
njivlođ	njivlot
njivláá	njivlá
njizzeđ	njizzet
njiäládiđ	njealádit
njiäpcuđ	njeapcut
njiäpčuttiđ	njeapčuhttit
njiäpčááttiđ	njeapčáhttit
njiäšku	njeaiku
njižže	njižži
njobžâ	njobža
njobžâdâh	njobžadat
njocârdiđ	njocardit
njolpettiđ	njolpehttit
njolpáttiđ	njolpáhttit
njomâttâh	njomadtat
njooccâđ	njohccat
njoommâđ	njopmat
njoomâhkálgu	njomahgálgu
njoođâ	njođa
njoođâlm	njođalbn
njoppâsist	njohppasist
njorijdiđ	njordjdit
njorttâdiđ	njorhttadit
njorttâđ	njorhttat
njoveldiđ	njoveldit
njovhâttiđ	njovhadtit
njočârdiđ	njočardit
njuhčâ	njukča
njuigo	njuigo
njuigáđ	njuigát
njulpettiđ	njulpehttit
njulppáđ	njulhppát
njulppâliđ	njulhppalit
njulppâsiđ	njulhppasit
njulččel	njulhččel
njulččáđ	njulhččát
njune	njuni
njuneh	njunet
njuneh láá toppum	njuneh lá tohppun
njunekeeči	njunekeači
njuneräigi	njuneráigi
njunetubbáák	njunetubbák
njunevuálástiđ	njunevoalástit
njunečuoškâ	njunečuoika
njunnáá	njudná
njunoštuáhtár	njunoitoahtár
njunáduđ	njunádut
njuoccâh	njuohccat
njuoccâđ	njuohccat
njuolgist	njuolgist
njuolgiđ	njuolgit
njuolgâ	njuolga
njuolgâd	njuolgat
njuolgâdus	njuolgadus
njuolgâdâs	njuolgadas
njuolgâs	njuolgas
njuolgâčuárvi	njuolgačoarvi
njuolâ	njuola
njuolâs	njuolas
njuolâviini	njuolavidni
njuopâ	njuopa
njuordâđ	njuordat
njuorrâđ	njuorrat
njuorâ	njuora
njuorâhpáárnáš	njuorahbárnáš
njuorâhvuásáš	njuorahvoasáš
njuorâs	njuoras
njuorâsmiđ	njuorasmit
njuoskâdiđ	njuoskadit
njuoskân	njuoskan
njuoskâs	njuoskas
njuoskâstiđ	njuoskastit
njuoskâđ	njuoskat
njuoskâšiđ	njuoskašit
njuottâđ	njuohttat
njuovvâmlágádâs	njuovvamlágádas
njuovvâđ	njuovvat
njuovâdiđ	njuovadit
njuovâdâh	njuovadat
njuovâttuđ	njuovadtut
njuovčâ	njuovča
njuppâsiđ	njuhppasit
njurgiđ	njurgit
njurgođ	njurgot
njuunij	njundj
njuuppâh	njuhppat
njuuvdâs	njuvdas
njuvgâd	njuvgat
njuáci	njoaci
njuággá	njoaggá
njuálgu-	njoalgu-
njuálgus	njoalgus
njuálgusárgum	njoalgusárgun
njuálluđ	njoallut
njuáludiđ	njoaludit
njuáludâttâđ	njoaludadtat
njuálččáá	njoalhččá
njuámmootavdâ	njoapmotavda
njuámmuđ	njoapmut
njuámudiđ	njoamudit
njuámuttiđ	njoamuhttit
njuámádiđ	njoamádit
njuárguđ	njoargut
njuári	njoari
njuárusteijee	njoarustedjei
njuárustiđ	njoarustit
njuárustâllâđ	njoarustallat
njuárádâh	njoarádat
njuásiht	njoasiht
njuáskáduh	njoaskádut
njuávih	njoavit
njuávihvuásáš	njoavihvoasáš
njuškiđ	njuikit
njuškottiđ	njuikohttit
njuškottâh	njuikohttat
njuškođ	njuikot
njyergis	njuorgis
njyeskistiđ	njuoskistit
njyevvee	njuovvei
njábbáá	njábbá
njáhháá	njáhhá
njálgudiđ	njálgudit
njálguđ	njálgut
