-aikainen	-áigásâš
paakkuinen	kahhaannallii
paakkuuntua	čuákkuđ
paalu	čuoldâ
paanne	ooškâs
paanu	snáittu
paarma	puárui
paasata	páásáđ
paasto	vástu
paastonaika	vástuäigi
paastota	vástudiđ
paatua	paattuđ
paatuneisuus	paattumvuotâ
paatunut	paattum
paavi	paavi
padota	puáđđuđ
paeta	patâriđ
paha	paa
pahanhajuinen	haijii
pahankurinen	eimâskâs
pahanmakuinen	poččâ
pahannäköinen	ilgâd
pahansuopa	paasyevvee
pahantahtoinen	paatátulâš
pahantekijä	paastahhee
pahantuulinen	nirráá
pahasti	paast
pahatapainen	skilottem
paheksua	huánášiđ
paheta	viärániđ
pahka	päkki
pahoinpidellä	illáástiđ
pahoinpitely	illáástem
pahoinvointi	illávaijeem
pahoinvoiva	illávaje
pahoinvoivana	illávaje
pahoitella	šalligâššâđ
pahoittaa	jnk
paholainen	pahakkâs
pahta	pähti
pahuksenmoinen	faaninláván
pahus	cirgálâh
pahuus	paavuotâ
pahvi	pahvi
paikallinen	páihálâš
paikallisliikenne	páihálâšjotolâh
paikallistaa	sajostittiđ
paikata	tuovŋâđ
paikkakunta	päikkikodde
paikkakuntalainen	päikkikoddálâš
paikkalintu	päikkilodde
paikoin	pááihui
paimen	kuáđutteijee
paimenkoira	kiäččupeenuv
paimennus	kiäčču
paimensauva	paimânsuábbi
paimentaa	kuáđuttiđ
paimentolainen	noomaad
painaa	konkr.
painajainen	peinijâš
painajaismainen	peinijâšlágán
painanne	kovádâh
painautua	tulla
painava	lussâd
paine	teedâ
paineilma	teedâáimu
painella	teddiliđ
painepesuri	teedâpassee
paini	hiäibum
painia	hiäibuđ
painike	tedâldâh
painollinen	tiädulâš
painonnosto	tiädduluptim
painopaikka	renttimsaje
painoton	tiäduttem
painottaa	tiäduttiđ
painovuosi	renttimihe
painua	konkr.
paise	puávui
paiskata	viskata
paiskautua	tempautua
paistaa	
paistinpannu	paistpánnu
paistinvarras	hältti
paisto	passeem
paisua	turvota
paita	päiđi
paitsi	eereeb
paja	páájá
paju	puájui
pajunkissa	sieđgâurbe
pakana	päähin
pakanallinen	päähinlâš
pakanuus	päähinvuotâ
pakara	čuárbpeeli
pakaralihas	čuárbbeltekki
pakastaa	kalmaattiđ
pakaste	kalmaattâs
pakastearkku	puolâščukke
pakastekaappi	puolâšskappi
pakastin	puolâš
pakata	pakkađ
paketti	pakkeet
pakina	taalsâ
pakinoida	talsâdiđ
pakka	
pakkanen	puolâš
pakkashuuru	rustâ
pakkaskeli	kalmadâh
pakkasrailo	puolâšluoddiittâh
pakkasviima	kuáldu
pakkaus	pakkâ
pakko	pággu
pakkokeino	páguttemvyehi
pakkoloma	págguluámu
pakkolomauttaa	págguluámuttiđ
pako	patârem
pakoilla	patârâddâđ
pakokaasu	pasâttâskaasu
pakokaasukatalysaattori	pasâttâskaasukatalysaattor
pakokauhu	paaniik
pakolainen	patâreijee
pakolaiskeskus	patâreijeikuávdáš
pakollinen	págulâš
pakomatka	patâremmätki
paksu	litteistä
paksuinen	litteistä
paksukainen	pagge
paksumpi	litteistä
paksunahkainen	čiävđáá
paksusuoli	kossâčuáli
paksuus	litteistä
palapeli	pittáspellâ
palasokeri	pittásukkâr
palata	maccâđ
palatessa	mäcidijn
palaute	macâttâs
palauttaa	macâttiđ
palautus	macâttem
palelematon	palliš
palella	kolmuđ
palelluttaa	kolmuuttiđ
paleltua	kolmuđ
paliskunta	paalgâs
paljakka	tuodârjolgâdâs
paljas	pääljis
paljastaa	salaisuus
paljastua	itteeđ
paljon	eenâs
paljoruokainen	puuriš
paljous	ennuvvuotâ
palkankorotus	päälhilasattâs
palkanlaskenta	päälhirekinistem
palkanlaskija	päälhirekinistee
palkanmaksu	päälhimäksim
palkanpidätys	päälhikeessim
palkansaaja	päälhiuážžoo
palkata	pálkkááttiđ
palkaton	pälhittem
palkeenvipu	stággu
palkia	palgâđ
palkimahelle	pálgáduh
palkinen	paalgâs
palkinto	pálhášume
palkka	pälkki
palkkakustannus	pälkkikolo
palkkaluokka	pälkkiluokka
palkkatulo	pälkkipuátu
palkkavaatimus	pälkkivátámuš
palkki	
palkkio	pálhášume
palkohedelmä	palgoheeđâlm
pallea	vuoivâsnjárččá
palleroporonjäkälä	kuolbâjäävvil
pallo	pállu
palloilla	pálustâllâđ
pallokivi	pállukeđgi
palmikko	paargišm
palmikoida	pärgidiđ
palmu	palmu
palo	puálu
paloitella	pittádiđ
palokunta	puálukodde
palomaa	
palomies	puálualmai
palovamma	puáluváddu
palovaroitin	puáluvárutteijee
palpakko	puškorääsi
palsami	palsam
palsasuo	ollâpolsâjeggi
palsta	pálstá
paluu	maccâm
paluukyyti	maccâmsáttu
palvata	pälvidiđ
palvelija	palvâleijee
palvella	palvâliđ
palvelu	palvâlus
palvelulinja	palvâluslinjâš
palvelupiste	palvâlusčyegis
palvelusetu	palvâlemhiätu
palveluskelpoisuus	palvâlemtohálâšvuotâ
palveluspaikka	palvâluspäikki
palvelusuhde	palvâlemkoskâvuotâ
palvi	pälvi
palvoa	palvâliđ
pamahtaa	peškittiđ
pamaus	pávkkám
pamauttaa	pavkkâliđ
pamppu	pamppu
paneli	paaneel
panetella	pelhittiđ
pangoittaa	páguttiđ
panka	päggi
pankki	paŋkki
pankkikortti	paŋkkikorttâ
pankkilaina	paŋkkilovnâ
pankkitalletus	paŋkkivuorkkim
pankkitili	paŋkkitili
pankkiyhteys	paŋkkiohtâvuotâ
panna	pieijâđ
pannahinen	pannâhâs
pannu	pánnu
pannuhuone	lieggimviste
panostaa	asetta
pantata	pánttáđ
pantteri	pantter
pantti	panttâ
papana	käävir
paperi	pááppár
papisto	pappâkodde
pappi	pappâ
pappila	pappâl
papu	páápu
parannella	puárádâllâđ
parannus	puárádâs
parantaja	pyeredeijee
parantaminen	pyeredem
parantola	puáráttâh
parantua	tulla
paras	pääris
parasiitti	parasiit
paratiisi	paradiis
parempi	eeđâb
parhaillaan	párásist
parikymmentä	muáddilov
parila	paarrâl
parinmuodostus	parâhammim
pariskunta	parâkodde
paristo	patter
parisuhde	parâkoskâvuotâ
paritalo	parâtáálu
paritella	parâttâllâđ
pariton	parâpeeli
parittelu	parâttâllâm
pariutua	parâluđ
pariutuminen	parâlum
parjata	pärjidiđ
parkaisu	paargâs
parkki	nahan
parkkinahka	šišne
parkkipaikka	parkkisaje
parkua	párguđ
parlamentaarinen	parlamentaarlâš
parranajokone	rahhimmaašin
parru	vuoli
parsakaali	parsakaalâ
parsinneula	čuálgui
parta	siämu
partaveitsi	rahânijbe
partiolainen	partiolâš
parturi	tuppájeijee
parturoida	tuppáđ
parveilla	čomestiđ
parveke	luptâstâh
parvi	iso
parvikala	uáivádâhkyeli
pasaatituuli	paasaatpieggâ
paska	poškâ
paskahätä	poškâeeti
passata	pássáđ
passauttaa	pássááttiđ
passi	passâ
pata	pääti
patentoida	patentistiđ
patentti	patent
patistaa	kivriđ
patja	madrâs
pato	puáđu
patoaminen	puáđđum
patoutua	paddâđ
patruuna	patrun
patsas	pääcis
paukahtaa	pávkkáđ
pauke	peeškâs
paukkua	pávkkuđ
paukkumaissi	pävkkeemaissâ
paukuttaa	pávkkááttiđ
paukutus	paavhâs
paula	kengän
paulankudonta	kuviollisen
pauloittaa	verkkoa
pehmetä	timániđ
pehmeys	kokonaisuutena
pehmeä	kokonaisuutena
pehmike	tuávŋi
pehmittää	timediđ
pehmitys	meidim
pehmuste	toppaus
peijakas	tuánttá
peikko	stáálu
peili	speeijâl
peilikuva	spejâlkove
peilityyni	vuojâkuálkki
peite	loovdâ
peitellä	lovdâččiđ
peitinsiipi	loovdâsuájá
peitto	tekki
peittyvä	čiähádettee
peittyä	čiehhuđ
peittää	luávdiđ
pelastaa	kááijuđ
pelastaja	káijoo
pelastua	piäluštuđ
pelastus	piäluštâs
pelastusarmeija	pestimarmeija
pelastusharjoitus	kááijumhárjuttâs
pelastuslautta	kááijumpuárree
pelastusryhmä	kááijumjuávkku
pelastusvene	kááijumkäärbis
pelata	spellâđ
peli	spellâ
peliohjain	sauvamainen
pelko	palo
pelkuri	ärgisiištâ
pellava	piellivâs
pellavaloukku	piellivâsliestâš
pelmahtaa	šyevittiđ
pelokas	palolâš
peloke	paldattâs
pelotella	paldattâllâđ
pelottaa	pelätä
pelottava	paldee
pelti	peldi
peltiastia	muáiđoolitte
pelto	piäldu
peltomies	piäldualmai
pelästyminen	suorgâttâs
pelästyttää	paldettiđ
pelästyä	palaskiđ
pelätä	poollâđ
penaali	peenaal
pengertää	viemârdiđ
penikoida	čivgâđ
peninkulma	penâkkullâm
penis	nävli
penkki	peŋkkâ
penkoa	kaivella
penni	penni
pensaantyvi	miestâmaadâ
pensas	miestâ
pensaskerros	miestâkerdi
penseä	tolcce
penska	juŋkká
pensseli	penssel
pentele	peŋgiluh
pentu	koiran
peppu	pottâ
perata	useampia
perehdyttäminen	uápásmittem
perhe	peerâ
perhe-eläke	peerâiäláttâh
perheenjäsen	perruujeessân
perhepäivähoito	peerâpeivitipšo
perheyritys	peerâirâttâs
perho	puzzâvuoggâ
perhonen	piäivááloddááš
perhosuinti	riäpčávuoijâm
periaate	prinsiip
perijä	ärbejeijee
periksi	piärán
perikunta	ärbikodde
perillinen	árbálâš
perillä	päämäärässä
perimä	árbádâh
perimätieto	ärbitiätu
perimätyyppi	genotijppâ
perinne	ärbivyehi
perinnöllinen	árbálâš
perinnöllisyys	árbálâšvuotâ
perinnönjako	ärbijyehim
perinteinen	ärbivuáválâš
perintö	ärbi
perintökaari	ärbikevli
perintöosa	ärbiuási
perintötekijä	ärbitahhee
periodi	periood
periytyä	arbâšuđ
periä	saada
perjantai	vástuppeivi
perkauspaikka	kyeliraaijâmsaje
perkele	pergâlâh
permanto	kyelbi
perna	täbđi
pernarutto	täbđirotto
persikka	persik
persilja	persiljá
perso	väimil
perua	
peruna	potás
perunamaa	pottáákeennâm
perunamuusi	pottááknjuvdos
perunapelto	pottáákpiäldu
perunkirja	ärbikirje
perunkirjoitus	ärbičäällim
perunkirjoitustoimitus	ärbičälittem
perusehto	vuáđuiähtu
peruseläke	vuáđuiäláttâh
perushoitaja	vuáđutipšoo
peruskallio	vuáđukällee
peruskoulu	vuáđuškovlâ
peruskoulutus	vuáđuškovliittâs
peruskurssi	vuáđukurssâ
perusluku	álguloho
perusmaksu	vuáđumáksu
perusmitta	vuáđumitto
perusoikeus	vuáđuvuoigâdvuotâ
perusosa	vuáđu-uási
peruspalkka	vuáđupälkki
perusta	vuáđu
perustaa	vuáđudiđ
peruste	vuáđus
perusteella	vuáđuld
perusteellinen	vuáđulâš
perusteeton	vuáđuttem
perustella	agâstâllâđ
perustelu	vuáđustâs
perustua	vuáđuduđ
perustus	vuáđudâs
perustuslaki	vuáđulaahâ
perusvähennys	vuáđukepidem
perusyksikkö	vuáđuohtâdâh
peruuttaa	kulkuneuvoa
peruuttamattomasti	mietimái
perä	takapuoli
peräaukko	pottâčalme
peräevä	monnjâvepsi
peräkkäin	maŋaluvâi
peräkärry	moonjiškärry
perälle	maŋas
peräpuikko	pottâčuálisäggi
peräpää	moonjiikeeči
perärauhanen	monnjâráksá
peräsin	stivrimpiergâs
perässä	maajeeld
perässäpäin	maaŋaabeln
perässätulija	maajeeldpuáttee
peräsuoli	pottâčuáli
peräti	penttâ
perätilassa	ruáptud
perätä	peerrâđ
perävaunu	majevávnu
perään	maŋŋaal
perääntyä	murdeđ
pesaista	posâstiđ
pesettää	posâttiđ
peseytyä	posâdâttâđ
pesijä	passee
pesiä	peessiđ
peski	peskâ
pestata	pestiđ
pesti	pesti
pestä	poossâđ
pesuaine	poossâmaamnâs
pesue	piäsádâh
pesujauhe	posâlâhčâmpulver
pesukone	posâlâddâmmaašin
pesusieni	poossâmkuobâr
pesye	mááná
pesä	yleisnimitys
pesäloinen	pesiparasiit
pesänhoitaja	pesitipšoo
pesänjako	pesijuáhu
pesänselvitys	pesičielgiittâs
pesäosuus	pesiuási
pesäpakoinen	pesipatâreijee
pesäpallo	pesipállu
pesäpallomaila	pesipállučaskan
pesäpalloräpylä	pesipállukiistâ
pesäpönttö	pesivuovdâ
petkel	nurdâmâs
petkuttaa	filliđ
petkuttaja	fillejeijee
peto	piätu
petoeläin	piätuellee
petokala	piätukyeli
petolintu	kozzâlodde
petollinen	falskii
petos	piätus
pettu	kuolmâs
petturi	pettee
pettuvelli	pecimääli
pettymys	pettâšume
pettyä	pettâšuđ
pettää	filliđ
peukalo	pelgi
peura	kodde
peurahirvas	riävdu
peurakorva	ubbâpelji
peurakorvavasa	koddevyesi
peurakuoppa	kodderogge
peuranpyynti	talvella
peuranpyytäjä	koddealmai
peuravaadin	kiävááš
pian	forgâ
pianonvirittäjä	pianokeldee
pidellä	
pidetä	kukkođ
pidin	tuállee
pidätellä	estää
pidättäytyä	kiäsádâttâđ
pidättää	
pidätys	
piehtaroida	fierriittâllâđ
pieksää	cäimiđ
pieleen	endurân
pielessäteillä	endurist
pieli	peles
piena	nuárvi
pienehkö	uceslágán
pieneliö	sieminiäláán
pienenläntä	uceslágán
pienentää	ucediđ
pieni	ucce
pienikokoinen	uces
pienimuotoinen	uceslágán
pienituloinen	uccáátiänájeijee
pienivatsainen	čuávjittem
pieniä	smavâdiđ
piennar	maađijrobdâ
pienoiskivääri	saloŋgâš
pienoismalli	miniatyyrmalli
pienokainen	uccááš
pienuus	uccevuotâ
pieraista	puoskiđ
piereskellä	puáskuđ
pierettää	puáskuttiđ
pieru	puoskâ
piestä	ruáiskuđ
piha	šiljo
pihattonavetta	šiljostâhnaavit
pihi	häänis
pihistää	ottaa
pihiys	hänisvuotâ
pihka	kässi
pihkainen	kássáá
pihlajanmarja	pihlájáámyerji
pihtailla	hánástâllâđ
piika	pijgá
piikivi	tinno
piikki	säggi
piikoa	pijguđ
piileskellä	piäittáástâllâđ
piileskely	piäittáástâllâm
piilo	čiähá
piiloleikki	piäittáástâllâm
piiloon	piäittusân
piilotella	laittaa
piilottaa	čiehâđ
piiloutua	čiähádâttâđ
piimä	pime
piina	pijne
piinata	piijnediđ
piipittää	civkkeđ
piippu	tupakointiin
piippurassi	piipun
piirakka	piirakka
piiri	pirrâdâh
piiriin	olán
piirikuntakonttori	pirrâdâhkoddekonttur
piirirajankäynti	pirrâdâhräjijotteem
piirissä	ooleest
piirittää	pirâstiđ
piirre	jiešvyehi
piirros	sáárgus
piirtoheitin	čuovâtaavvâl
piirtoheitinkalvo	cuozzâ
piirtopuikko	sárgumnáálu
piirturi	sárgoo
piirtäjä	sárgoo
piirtää	sárguđ
piirustus	sáárgus
piirustuslauta	sárgumlyevdi
piirustusteline	sárgumsteellig
piisata	pijssáđ
piiska	spižá
piiskata	antaa
piiskutella	cirijdiđ
piiskuttaa	njivkkeđ
piispa	pispe
piispanistuin	pispestovli
piitata	perustiđ
piittaamaton	peerustmettum
pikajuna	huáppujuná
pikajuoksu	huáppukaččâm
pikakuljetus	huáppusáttu
pikari	piikaar
pikatoiminto	häppiltoimâ
pikavalinta	huáppuvaljiimeh
pikkujyrsijä	smavâjurssee
pikkukivi	kiäđgáš
pikkuleipä	kááhuš
pikkulintu	uccâloddááš
pikkusormi	čeelhišm
pikkuvaras	suollâgâš
pila	pile
pilaantua	pillâšuđ
pilaantuminen	pillâšumvuotâ
pilaantunut	pillâšum
pilaava	pilláá
pilailla	kompâlâššâđ
pilakuva	leikkâkove
pilata	turmella
pili	cirrá
pilkata	pilkkediđ
pilkka	kirveellä
pilkkaaja	pilkkár
pilkki	tälvivuoggâ
pilkkoa	hakkaamalla
pilkkukuume	tiälkkutavdâ
pilkottaa	pilleeđ
pilleri	piller
pilli	pilli
pilvenhattara	tevkki
pilvi	polvâ
pilvilinna	áimulanne
pilvinen	polvii
pilvistyä	polviđ
pilvisyys	polviivuotâ
pilvisää	polvâšoŋŋâ
pimetä	sevŋâniđ
pimeys	sevŋâdâs
pimeä	sevŋâd
pinaatti	piinaat
pinkaista	njibžâstiđ
pinkata	pággudiđ
pinkka	pággu
pinkoa	njaldeđ
pinnalta	olgoold
pinnanmuoto	pajaldâshäämi
pinne	pačarâs
pinnoite	piddedâs
pino	pino
pinota	pinodiđ
pinta	jk
pinta-ala	vijdodâh
pintajännitys	pajaldâskiäldus
pintakudos	pajaldâskođos
pintakäsittely	ulguukieđâvuššâm
pintamaa	pajaldâseennâm
pintapuu	pidde
pintarasva	oolâs
pintaverkko	kobđooviermi
pintavesi	pajaldâsčääci
piparkakku	pippârkákku
pipo	kappeer
pippeli	cirrá
pippuri	pippâr
piriste	virkosmittemaamnâs
piristyä	virkosmiđ
pirta	njuškom
pirtelö	mielkkisuptâ
pirteys	virkkuuvuotâ
pirteä	virkkuu
pirtti	väentupa
piru	piiru
piruilla	piruluddâđ
pirullinen	pirulâš
pisama	čärmi
pisara	kuáškánjâs
pisaratartunta	riškáttâhnjuámmum
pisimpään	kuhemustáá
pissa	cissâ
pissahätä	kužžâeeti
pissata	cissâđ
piste	čuágástuh
pistellä	čuágguđ
pisteytys	čuágástittem
pisto	čuoggiistâh
pistoke	čuoggiistâh
pistokoe	čuoggiistemiskos
pistooli	pistovl
pistorasia	šleđgâskuáppu
pistos	čuoggiistâh
pistosaha	čuággumsááhá
pistotie	čuoggiistâhmaađij
pistotulppa	šleđgâtulppá
pistäytyä	čaŋâdiđ
pistää	jllak
pitkin	kejimield
pitkittäin	kukkod
pitkittäinen	kejimiäldásâš
pitkospuu	pardalâs
pitkulainen	kuheldâlâš
pitkä	kukke
pitkähöylä	sävŋiheevvâl
pitkäjänteinen	meritiätulâš
pitkäkyntinen	skuáibá
pitkällinen	kuhálâš
pitkälti	pyeri
pitkämielinen	killeel
pitkämielisyys	killeelvuotâ
pitkäperjantai	kuhesperjâdâh
pitkäsiima	kiärdu
pitkästyä	kuhástuđ
pitkäuninen	oođiš
pitkään	kuhháá
pitoisuus	nalliisvuotâ
pitsi	picci
pituinen	kuho
pituus	kukkodâh
pituushyppy	kukkodâhnjuškim
pitäjä	pitejâš
pitäminen	käyttäminen
pk-yritys	uk-irâttâs
plakki	plakkâ
planeetta	plaaneet
plankton	plankton
planktonlevä	planktontiäppu
plantaasi	plantaas
plasma	plasma
pohdiskella	suogârdâllâđ
pohja	jnk
pohjakala	ponnekyeli
pohjakerros	ponnekerdi
pohjakosketus	kärbisvuáđukuoskâm
pohjallinen	liästu
pohjamuta	ponnemote
pohjasiika	ponnešapšâ
pohjaton	ponettem
pohjavesi	vuáđučääci
pohje	vákká
pohjelihas	vákkátekki
pohjeluu	vákkátähti
pohjimmainen	ponemuš
pohjoinen	tave
pohjoismaa	tave-eennâm
pohjoismaalainen	tave-eennâmlâš
pohjoisnapa	tavenääpi
pohjoispuolella	taavaakeččin
pohjoissaamelainen	orjâlâš
pohjukaissuoli	vuáđugâščuáli
pohtia	suogârdiđ
poika	alge
poikalapsi	algepáárnáš
poiketa	konkr.
poikia	čivgâđ
poikima-aika	kuoddâd
poikiminen	kuoddâd
poikittain	tuárrást
poikittainen	tuáris
poikkeama	spiekâstâh
poikkeava	epitáválâš
poikkeuksellinen	spiekâstâhlâš
poikkeus	spiekâstâh
poikki	katkennut
poikkiparru	tuárishirsâ
poikkipuu	kotakorvien
poikkisärmä	tuárisávju
poikue	mááná
poimia	m.
poimu	ryppymäinen
poimuinen	jorŋii
poimulla	jormeeld
poimuri	čuágán
poimuvuoristo	jormeväärih
pois	meddâl
poistaa	meddâlistiđ
poisto	meddâlistem
poistua	loitota
pojankoltiainen	kandâlipáruvvâš
pojannaskali	kandâpuicce
poliisi	poolis
poliitikko	politijkkár
poliittinen	pooliitlâš
poliklinikka	polikliiniik
politiikka	politijkká
poljin	polgâm
polkaista	tuolmâstiđ
polkea	tuolmâđ
polku	päälgis
polkuhinta	puálguhadde
polkupyörä	pyerá
polskia	porššođ
polskuttaa	poršottiđ
polskutus	šoollân
poltinora	puáldimryevdi
polttaa	puáldiđ
polttiaiseläin	polttijâšellee
polttimo	puáláán
polttoaine	puáldámuš
polttoainesäiliö	taŋkki
polttokelo	puáldimsuárvi
polttomoottori	puáldimmoottor
polttopuu	puáldimmuorâ
polttoturve	puáldimlavŋe
polttouhrialttari	puáldimuhreálttár
polvi	jalassa
polvijänne	idâsuonâ
polvilumpio	idâskálžu
polvitaive	koodâr
pommi	pommi
pommittaa	pommittiđ
pommitus	pommittem
pomppia	canccođ
ponnahduslauta	tovgâmlyevdi
ponnahtaa	tovgâđ
ponnistaa	ranjestiđ
ponnistella	sreeviđ
pontata	sponttáđ
pontti	sponttâ
popcorn	pävkkeemaissâ
populaatio	populaatio
pora	poorá
porakaivo	porákáivu
porata	pooráđ
poretabletti	puljârtablet
porhaltaa	huráidittiđ
porista	vesi
porkkana	porkkan
poroerotus	pygálys
porohirvas	sarves
porohärkä	ergi
poroisäntä	puásui-iššeed
porokilpailu	ergikišto
porokolari	puásuipärtti
porokylä	pajesijdâ
porolehmä	áldu
poroluku	puásuiloho
poromies	puásuialmai
poronhaku	puásuiuuccâm
poronhakumies	puásuioccee
poronhoitaja	puásuiolmooš
poronhoito	puásuituálu
poronomistaja	puásuiomâsteijee
porontuntija	puásuitobdee
poronturpa	poccuunjune
poropaimen	puásuikeččee
poropeukalo	čuámmi
pororaito	ráiđu
pororikas	puásuiriges
porotila	puásuitáálu
porotokka	puáissijdâ
porras	lavkkiittâh
porrasperä	cekkipottâ
porsaanliha	šavepiärgu
porsas	šahe
portaaton	cehittem
portti	porttâ
porvari	puárvár
positiivinen	positiivlâš
poski	nierâ
poskihammas	madâpääni
poskiontelo	nierâvuovdâ
poskipää	nierâuáivi
posliini	poslin
possessiivisuffiksi	omâstemkiäjus
posti	postâ
postiennakko	postâovdâmáksu
postikortti	postâkorttâ
postilaatikko	postâloová
postimerkki	postâmerkkâ
postinjakaja	poostâjyehhee
postinkantaja	poostâjođetteijee
postisiirto	postâsirdo
postitoimipaikka	postâtoimâpäikki
postittaa	pieijâđ
potenssi	pooteens
potilas	pyeccee
potka	vákká
potkaista	čievčâstiđ
potkia	čiehčâđ
potkukelkka	potkur
potkulauta	čiehčâmlyevdi
potta	potto
poukkoilla	spiäkkuđ
pouta	fiärttu
povata	spooviđ
povi	vaatteessa
povitasku	puoŋâ
pramea	koorrâd
prameilla	kobdánâddâđ
presidentti	president
pressu	kuđjo
prinsessa	prinses
prinssi	prinssâ
printata	printtiđ
printteri	printter
prisma	prisma
profeetta	proofeet
professori	professor
profetoida	profetistiđ
profetoiminen	profetistem
projektori	projektor
promilli	proomiil
pronssi	pronssi
propelli	potkur
prosentti	prooseent
prosessi	prosessâ
proteiini	protein
protestanttinen	protestantlâš
prässätä	srijkkiđ
psalmi	psalmâ
psykiatri	psykiatrâ
psykiatrinen	psykiatrâlâš
psykologi	psykolog
psykologia	psykologia
psyykkinen	psyykkilâš
pudistella	jtak
pudota	koččâđ
pudottaa	kočâttiđ
pudotusvalikko	kočâttemvaljiittâh
puhallella	posolâhčâđ
puhallin	posonjâs
puhaltaa	m.
puhdas	putes
puhdistaa	putestiđ
puhdistamo	putestemrakânâs
puhdistua	putásmiđ
puhdistus	putástâs
puhdistusaine	putestemaamnâs
puhe	haastelu
puheensorina	hullân
puhekaveri	hástuskippáár
puhekyvyttömyys	kielâttesvuotâ
puheliaisuus	sárnáávuotâ
puhelias	sárnáá
puhelin	puhelin
puhelinvaihde	puhelinkuávdáš
puhella	sárnudiđ
puhelu	suáittu
puheterapeutti	sárnumterapeut
puhevika	sárnumváddu
puhista	šnjuuđđâđ
puhki	rääigin
puhkua	roččoođ
puhtaasti	puttáht
puhua	sárnuđ
puhuja	sárnoo
puhuminen	sárnumâš
puhutella	sahhiittâllâđ
puhuttava	sárnumâš
puhuttelu	sahhiittâllâm
puida	meidiđ
puijata	puijáđ
puikahtaa	kuikkáđ
puikkari	puikkár
puikko	säggi
puimala	meidimviäsu
puinti	valjemeidim
puistaa	ravistaa
puistattaa	savŋelittiđ
puistella	ravistella
puisto	muorâstâh
puistokatu	bulevard
puite	raami
pujahtaa	čaŋâliđ
pujauttaa	kortâstiđ
pujottaa	puáibildiđ
pukata	uigâđ
pukea	kárvuttiđ
pukeutua	kárvudâttâđ
pukki	pokkâ
pulkka	pulkke
pulla	niisu
pullistua	täyteen
pullo	puttâl
pullollaan	poogâs
pullonkaula	puttâlčeve
pullonsuu	puttâlnjälmi
pullottaa	pavŋađ
pulma	čuolmâ
pulmallinen	váádduh
pulpetti	pulbet
pulska	pulske
pulssi	pulssâ
pultti	pulttâ
pulveri	itse
pumpata	pumppáđ
pumppaamo	pumppááttâh
pumppu	pumppu
punainen	ruopsâd
punajuuri	ruopsisruotâs
punakaali	ruopsiskaalâ
punalevä	ruopsistiäppu
punasipuli	ruopsissipuli
punastua	ruápsudiđ
punavasa	ruopsisvuásáš
punertaa	ruáđđáđ
punertua	ruápsudiđ
punikkitatti	rušmostatti
punkka	puŋkká
punnerrus	pintedem
punnertaa	pintediđ
punnita	konkr.
punnitus	viekkiittâs
punnus	viähu
punoa	ponnoođ
punoittaa	ruápsáđ
punos	ponos
punssi	punssâ
puntari	pismár
puntaroida	pismárâššâđ
puntti	punttâ
puolata	kiessâđ
puolelle	pel
puolesta	jnk
puolestaan	-gâs
puoli	peeli
puoliintua	peliluđ
puolijalometalli	pelijálumeetaal
puolikas	poikittain
puolikko	puolik
puoliksi	pellduvváid
puolikuiva	koškáá
puolilaho	ruásnu
puoliloinen	peliparasiit
puolin	pelij
puolinuotti	pelinuottâ
puolipiste	peličuogâstâh
puolipitkä	pelikukke
puolipyöreä	pelijuurbâs
puoliso	pelikyeimi
puolisukeltaja	pelipyehčee
puolisuunnikas	pelisundákkâs
puolitoista	lakknub
puolittaa	pelidiđ
puolivalmis	pelivaalmâš
puolivalmiste	pelivalmâštâh
puolivuotias	ihepiälásâš
puoliympyrä	riegispeeli
puolue	piäládâh
puolueeton	pelettem
puolueettomuus	pelettemesvuotâ
puolustaa	piäluštiđ
puolustautua	vastustamalla
puolustus	piäluštâs
puomi	puomâ
puoti	puvdâ
puraista	käskistiđ
pureksia	smierettiđ
pureskella	suoskâđ
puristaa	čárvuđ
puristella	čarviistâllâđ
puristin	čárvum
puristua	čarvâšuđ
puristusside	čárvusnuávlu
purje	puurjâs
purjehtia	purjâstiđ
purjelauta	purjâslyevdi
purjelautailu	purjâsluávdástâllâm
purjeneula	lávástâh
purjetuuli	purjâd
purjevene	purjâskäärbis
purjosipuli	purjosipuli
purka	porge
purkaa	osiin
purkaantua	
purkaus	russoom
purkautua	
purkki	purkki
purnata	nimmâruššâđ
purnaus	nire
puro	aajâ
purouitto	juhâvuojâttem
purra	käskiđ
pursotin	čárvum
purtilo	luástu
purukumi	suoskâmkumi
pururata	sáhájávvurađe
pusero	pusseer
puskaista	nurváđ
puskea	nurvođ
pusketella	nurvottâttâđ
puskettaa	nurvottiđ
puskutraktori	nurdâmtraktor
pussata	cummâlâhčâđ
pussi	sekkâ
pussieläin	puoŋâellee
pusu	cumme
putka	putká
putki	poccee
putkiasentaja	pocceestellejeijee
putkilo	poccee
putkilokasvi	pocceešaddo
putkipipo	pocceelijne
putkisto	pocceestâh
putoilla	kočâdiđ
putous	korže
puuaines	muorâaamnâs
puuduttaa	čergijduttiđ
puuduttamaton	jäämithánnáá
puuduttamatta	jäämithánnáá
puuha	hommáástâlmuš
puuhailla	puđâldiđ
puuhata	roossâđ
puuhka	viergi
puukaukalo	kääri
puukerros	muorâkerdi
puukko	nijbe
puukottaa	kerran
puukottaja	nijbástillee
puukäsityö	muorâtyeji
puulinna	muorâlanne
puulämmitys	muorâlieggiittâs
puunjalostus	muorâovdedem
puuosa	muorâuási
puupuhallin	muorâposonjâs
puura	puvre
puuraja	ordârääji
