SUOMI	SÄMIKIELÂ UUCÂMSÄÄNI	SAAMEN_HAK	SUOMEN_HAK	SAAMEN_RIN	ESIMERKKEJÄ JA LIITTYVIÄ ILMAUKSIA	SAAMEN_YHD	SUOMEN_YHD	SAAMEN_TAI	SUOMEN_HA2	SUOMEN_J_L
luutnantti  	luutnant        	luutnant	luutnantti							
luuttu  (soitin)	luuttâ        	luuttâ	luuttu							(soitin)
luutu~luuttu  (siivousväline)	sappe  sape      	sappe	luutu~luuttu					sape		(siivousväline)
luututa  	sappadiđ  sappad      	sappadiđ	luututa					sappad		
luuviulu  	tähtikargâdâs        	tähti	luu			kargâdâs	viulu			
luvallinen  	loválâš  loválii      	loválâš	luvallinen					loválii		
luvata  	lopediđ        	lopediđ	luvata							
luvaton  	lovettem  # lovettes ~ lovettemes      	lovettem	luvaton					# lovettes ~ lovettemes		
lyhde  	kied'dee        	kied'dee	lyhde							
lyhenne  	uá'nádâs        	uá'nádâs	lyhenne							
lyhentää  	uá'nidiđ  uánid      	uá'nidiđ	lyhentää					uánid		
lyhetä  	uá'Nániđ  uánnán,  uánnuđ uánum oonnum    	uá'Nániđ	lyhetä	uánnuđ uánum oonnum				uánnán,		
lyhty  	lihtâ  liivtâ      	lihtâ	lyhty					liivtâ		
lyhyt  	uáneeh  # uá'nehis  ~ uánih # uá'nihis ~ uá'nihâš uá'niháá # uá'nihâš ~ uá'nehâš uá'neháá # uá'nehâš;  (lyhyen aikaa) uá'niháá  	uáneeh	lyhyt	~ uánih # uá'nihis ~ uá'nihâš uá'niháá # uá'nihâš ~ uá'nehâš uá'neháá # uá'nehâš;	(lyhyen aikaa) uá'niháá			# uá'nehis		
lyhytaikainen  	uá'nihisáigásâš  -áigásii      	uá'nihis	lyhyt			áigásâš	aikainen	-áigásii		
lyhytikäinen  	aVettem  # aVettes~aVettâs      	aVettem	lyhyt				ikäinen	# aVettes~aVettâs		
lyhytikäisyys  	aVettemesvuotâ  -vuođâ,  aVettesvuotâ -vuođâ    	aVettemesvuotâ	lyhyt	aVettesvuotâ -vuođâ			ikäisyys	-vuođâ,		
lyhytjalkainen  (ihminen)	luág'gi  luági      	luág'gi	lyhyt				jalkainen	luági		(ihminen)
lyhytnokkahanhi  Anser brachyrhynchus	uá'nihisnjunčuá'njá  -čuán'njáá      	uá'nihis	lyhyt			njunčuá'njá	nokkahanhi	-čuán'njáá		Anser brachyrhynchus
lyhytsiipiset  Staphylinidae	uá'nihissuáJásâškirdeekiivsah        	uá'nihis	lyhyt			suáJásâškirdeekiivsah	siipiset			Staphylinidae
lyhytvarvaskiuru  Calandrella brachydactyla	kozzâlakkleivosâš  -leivosii      	kozzâ	lyhyt			lakkleivosâš	varvaskiuru	-leivosii		Calandrella brachydactyla
lyijy  	laJo  lajo      	laJo	lyijy					lajo		
lyijykynä  	laJopennâ  -peeNâ      	laJo	lyijy			pennâ	kynä	-peeNâ		
lykkäys  	maŋedem        	maŋedem	lykkäys							
lykätä  	maŋediđ  maŋŋeed,  majediđ maajeed    	maŋediđ	lykätä	majediđ maajeed				maŋŋeed,		
lyllertää  	li'msestiđ  li'msestâm limseest      	li'msestiđ	lyllertää					li'msestâm limseest		
lylypuu  	piiŋâl  piiŋŋâl      	piiŋâl	lyly				puu	piiŋŋâl		
lymytä  	loommâđ  loomâm laMa      	loommâđ	lymytä					loomâm laMa		
lypsykarja  	miel'kkišivetteh        	miel'kki	lypsy			šivetteh	karja			
lypsykauha  	näppi  nääpi      	näppi	lypsy				kauha	nääpi		
lypsyrove  	paččeempuár'tti  -puárti      	paččeem	lypsy			puár'tti	rove	-puárti		
lypsäjä  	paččee        	paččee	lypsäjä							
lypsättää  	paJettiđ  paijeet      	paJettiđ	lypsättää					paijeet		
lypsävä  	paččee;      (olla ummessa lehmästä, porovaatimesta) cuskâm ~ suskâm leđe, cuskâsâst ~ suskâsâst orroođ  	paččee;	lypsävä		(olla ummessa lehmästä, porovaatimesta) cuskâm ~ suskâm leđe, cuskâsâst ~ suskâsâst orroođ					
lypsää  	paččeeđ  pajam;    (lopettaa lypsäminen, panna umpeen lehmä t. porovaadin) cuskâdiđ ~ suskâdiđ  	paččeeđ	lypsää		(lopettaa lypsäminen, panna umpeen lehmä t. porovaadin) cuskâdiđ ~ suskâdiđ			pajam;		
lystikäs  	hitruu  # -s      	hitruu	lystikäs					# -s		
lysähtää  	koččâđ  koočâm,  ku'rpettiđ kurppeet    	koččâđ	lysähtää	ku'rpettiđ kurppeet				koočâm,		
lyyra  	lyyra        	lyyra	lyyra							
lyödä  	(iskeä) časkeđ  ča'skam časka,  šlooviđ šlooviim šluávee; (kerran) fáškáđ fáškáám; (kerran ja kovaa) huškoliđ; (kumauttaa) loSâliđ loossâl; (pamauttaa) vuođ'gâliđ; (sivaltaa, huitaista) fa'škâstiđ, vuođ'gâliđ; (nyrkillä kerran) čurmâdiđ čurmâd; (pieksää) huškođ hu'škom; (hengiltä) cimostiđ cimmoost; (jk ruumiinosa jhk, satuttaa itsensä) noigâđ nooigâm; (satuttaa päänsä jhk) nuLádiđ nulláád; (kerran sydämestä) ja'lhettiđ jalheet, jalkkađ; (useasti, jyskyttää sydämestä) jalkkeđ ja'lham; (oveen, kolkuttaa) skolkkâliđ skolkkâl; (pystyyn maahan esim. seipäitä) stiär'guđ stiärgum stergum; (salamasta) ko'skâstiđ kooskâst; (rahat pöytään t. käteen) liä'đáhittiđ liä'đáhittiđ; (loukkua hampaista t. leuasta) vavijdiđ vaavijd; (rantaan aalloista) keerrâđ kiäRá; (aallot äänekkäästi rantaan) skulččeđ skulččá; (siivillä toistuvasti) lááppuđ láávum; (tyhjää ampuma-aseesta) colkkâliđ; (vetoa jstk jk kanssa) ha'stâččâttâđ;  (tulla, joutua nyrkillä lyödyksi) ču'rmâttâttâđ ču'rmâttâđâm; (joutua jk lyömäksi) čuo'lâttâttâđ čuo'lâttâđâm, čoskuđ čoskuum časkoo; (joutua, tulla pieksetyksi t. hakatuksi) hu'škottâttâđ hu'škottâđâm; (hakattaa, antaa piestäväksi) hu'škottiđ huškoot;  (ihminen joka lyö mielellään vetoa) hástálâs hástálii  	(iskeä) časkeđ	lyödä	šlooviđ šlooviim šluávee; (kerran) fáškáđ fáškáám; (kerran ja kovaa) huškoliđ; (kumauttaa) loSâliđ loossâl; (pamauttaa) vuođ'gâliđ; (sivaltaa, huitaista) fa'škâstiđ, vuođ'gâliđ; (nyrkillä kerran) čurmâdiđ čurmâd; (pieksää) huškođ hu'škom; (hengiltä) cimostiđ cimmoost; (jk ruumiinosa jhk, satuttaa itsensä) noigâđ nooigâm; (satuttaa päänsä jhk) nuLádiđ nulláád; (kerran sydämestä) ja'lhettiđ jalheet, jalkkađ; (useasti, jyskyttää sydämestä) jalkkeđ ja'lham; (oveen, kolkuttaa) skolkkâliđ skolkkâl; (pystyyn maahan esim. seipäitä) stiär'guđ stiärgum stergum; (salamasta) ko'skâstiđ kooskâst; (rahat pöytään t. käteen) liä'đáhittiđ liä'đáhittiđ; (loukkua hampaista t. leuasta) vavijdiđ vaavijd; (rantaan aalloista) keerrâđ kiäRá; (aallot äänekkäästi rantaan) skulččeđ skulččá; (siivillä toistuvasti) lááppuđ láávum; (tyhjää ampuma-aseesta) colkkâliđ; (vetoa jstk jk kanssa) ha'stâččâttâđ;	(tulla, joutua nyrkillä lyödyksi) ču'rmâttâttâđ ču'rmâttâđâm; (joutua jk lyömäksi) čuo'lâttâttâđ čuo'lâttâđâm, čoskuđ čoskuum časkoo; (joutua, tulla pieksetyksi t. hakatuksi) hu'škottâttâđ hu'škottâđâm; (hakattaa, antaa piestäväksi) hu'škottiđ huškoot;  (ihminen joka lyö mielellään vetoa) hástálâs hástálii			ča'skam časka,		
lyömäase  	(terällinen) čuolân  čuol'lân;  (yleisnimi) ča'skettep    	(terällinen) čuolân	lyömä	(yleisnimi) ča'skettep			ase	čuol'lân;		
lyönti  	(erit. kirveellä hakatessa) čuo'lâstâh  čuo'lâstuv;  (kellon tms. helisevä) čuoijâm;  (nostaa käsi lyöntiasentoon) uál'gádistiđ  	(erit. kirveellä hakatessa) čuo'lâstâh	lyönti	(kellon tms. helisevä) čuoijâm;	(nostaa käsi lyöntiasentoon) uál'gádistiđ			čuo'lâstuv;		
lyöttäytyä  (yhteen)	skippuđ  skippuum,  skippuudâttâđ skippuudâđâm    	skippuđ	lyöttäytyä	skippuudâttâđ skippuudâđâm				skippuum,		(yhteen)
lyötävä  	ča'skettep        	ča'skettep	lyötävä							
lähde  (maastossa)	aajâ  aijuu,  käldee    	aajâ	lähde	käldee				aijuu,		(maastossa)
lähde  (tiedon)	käldee        	käldee	lähde							(tiedon)
lähdetähtimö  Stellaria alsine	ajâiilâsk        	ajâ	lähde			iilâsk	tähtimö			Stellaria alsine
lähdeviite  	käldeečujos  -čuijoos      	käldee	lähde			čujos	viite	-čuijoos		
läheinen  (adj.)	(konkr. ja kuv.) aldasâš  aldasii;  (tärkeä, kiintymyksen kohde) kie'res kiärrás, vááimuvuálááš -vuáláá;  (tulla läheiseksi) máddániđ  	(konkr. ja kuv.) aldasâš	läheinen	(tärkeä, kiintymyksen kohde) kie'res kiärrás, vááimuvuálááš -vuáláá;	(tulla läheiseksi) máddániđ			aldasii;		(adj.)
läheinen  (subst.)	a'ldaolmooš  -ulmuu;  (sukulainen) hyel'kki hyelhi; (lähisukulainen) a'ldahyel'kki -hyelhi    	a'lda	läheinen	(sukulainen) hyel'kki hyelhi; (lähisukulainen) a'ldahyel'kki -hyelhi		olmooš		-ulmuu;		(subst.)
läheisyys  	(konkr. ja kuv.) a'ldavuotâ  a'ldavuođâ;  (tärkeys, kiintyneisyyssuhde) kie'resvuotâ kie'resvuođâ    	(konkr. ja kuv.) a'ldavuotâ	läheisyys	(tärkeys, kiintyneisyyssuhde) kie'resvuotâ kie'resvuođâ				a'ldavuođâ;		
lähekkäin  	aldaluVâi        	aldaluVâi	lähekkäin							
lähelle  (jtak)	piäl'lás        	piäl'lás	lähelle							(jtak)
lähellä, -tä  	a'lda;      (lähellä oleva, lähi-) aldaaš  	a'lda;	lähellä, -tä		(lähellä oleva, lähi-) aldaaš					
lähemmäs, lähempänä  	aldeláá;    (vähän) aldeláhháá; (järveä) jävriláá; (pöytää) pevdiláá;  (ottaa, siirtää lähemmäs) täbidiđ tääbbid  	aldeláá;	lähemmäs, lähempänä	(vähän) aldeláhháá; (järveä) jävriláá; (pöytää) pevdiláá;	(ottaa, siirtää lähemmäs) täbidiđ tääbbid					
lähennellä  	a'ldadâllâđ  a'ldadâlâm      	a'ldadâllâđ	lähennellä					a'ldadâlâm		
lähentyä  	aldaniđ  aldan,  šoddâđ kie'res koskâvuotâ    	aldaniđ	lähentyä	šoddâđ kie'res koskâvuotâ				aldan,		
lähentää  	a'ldediđ  aldeed      	a'ldediđ	lähentää					aldeed		
lähes  	aldasáid        	aldasáid	lähes							
lähestyä  	aldaniđ  aldan;  (tulla lähemmäs sitä kohtaa mistä on puhe t. missä puhuja on) tábbániđ tábbániđ; (hiipien) njaVâttiđ njaavvât; (rantaa, tulla matalaan veteen) riddoniđ riddonâm    	aldaniđ	lähestyä	(tulla lähemmäs sitä kohtaa mistä on puhe t. missä puhuja on) tábbániđ tábbániđ; (hiipien) njaVâttiđ njaavvât; (rantaa, tulla matalaan veteen) riddoniđ riddonâm				aldan;		
lähete  	vuo'lgâttâspááppár~-pááppâr~-páppár~-páppâr ~ -päävir        	vuo'lgâttâs	lähete			pááppár~-pááppâr~-páppár~-páppâr ~ -päävir				
lähetin  	vuo'lgâttempiergâs  -pier'gâs      	vuo'lgâttem	lähetin			piergâs		-pier'gâs		
lähetti  	säNituál'voo,    tuál'voo    	säNi	lähetti	tuál'voo		tuál'voo,				
lähettyville  	aldasáid        	aldasáid	lähettyville							
lähettää  	vuo'lgâttiđ  vuolgât      	vuo'lgâttiđ	lähettää					vuolgât		
lähetys  	vuo'lgâttâs        	vuo'lgâttâs	lähetys							
lähetystyöntekijä  	vuo'lgâttâspargee        	vuo'lgâttâs	lähetys			pargee	työntekijä			
lähi-  	aldaaš        	aldaaš	lähi-							
lähihoitaja  	a'ldatipšoo        	a'lda	lähi			tipšoo	hoitaja			
lähimmäinen, lähin  	a'ldemuš  a'ldemuu      	a'ldemuš	lähimmäinen, lähin					a'ldemuu		
lähinnä  (enimmäkseen)	iänááš,    enâmustáá, a'ldemust ~ a'ldemustáá;  (ajattelen lähinnä niin, että...) mun smietâm tohokulij, et...  	iänááš,	lähinnä	enâmustáá, a'ldemust ~ a'ldemustáá;	(ajattelen lähinnä niin, että...) mun smietâm tohokulij, et...					(enimmäkseen)
lähiosoite  	a'ldačujottâs        	a'lda	lähi			čujottâs	osoite			
lähistöllä, -tä  	aldasijn        	aldasijn	lähistöllä, -tä							
lähisukulainen  	a'ldahyel'kki  -hyelhi      	a'lda	lähi			hyel'kki	sukulainen	-hyelhi		
lähteikköpoimulehti  Alchemilla glabra	še'lgishaamiträäSi~-rääsi  -rääsi      	še'lgis	lähteikkö			haamiträäSi~-rääsi	poimulehti	-rääsi		Alchemilla glabra
lähteminen  	vuál'gámuš        	vuál'gámuš	lähteminen							
lähteä  	vyel'giđ  vuálgám;  (liikkeelle) jottáđ jottáám; (vastentahtoisesti jhk) riän'duđ riändum; (irti) čieh'čâsiđ čieh'čâs; (irrota, karvasta, nahasta tms.) njaLaniđ njallaan;  (tehdä lähtöä) vuo'lgâdiđ vuolgâd  	vyel'giđ	lähteä	(liikkeelle) jottáđ jottáám; (vastentahtoisesti jhk) riän'duđ riändum; (irti) čieh'čâsiđ čieh'čâs; (irrota, karvasta, nahasta tms.) njaLaniđ njallaan;	(tehdä lähtöä) vuo'lgâdiđ vuolgâd			vuálgám;		
lähtien  (jstak)	rääjist;      (tästä lähtien) tästpalij  	rääjist;	lähtien		(tästä lähtien) tästpalij					(jstak)
lähtö  	vuál'gámuš,    vuolgâ vuol'guu, vyel'gim    	vuál'gámuš,	lähtö	vuolgâ vuol'guu, vyel'gim						
lähtökohta  	vuolgâsaJe  -saje      	vuolgâ	lähtö			saJe	kohta	-saje		
lähtöpäivä  	vuolgâpeivi  -peeivi      	vuolgâ	lähtö			peivi	päivä	-peeivi		
läikkyä  	stilččođ  sti'lčom,  tiškođ ti'škom    	stilččođ	läikkyä	tiškođ ti'škom				sti'lčom,		
läikkä  	tiäl'kku  tiälhu      	tiäl'kku	läikkä					tiälhu		
läikyttää  	sti'lčottiđ  stilččoot,  tiškođ ti'škom    	sti'lčottiđ	läikyttää	tiškođ ti'škom				stilččoot,		
läikähtää  	tiškáđ  tiškájeh;  (erit. ruoasta t. juomasta) šávgáđ    	tiškáđ	läikähtää	(erit. ruoasta t. juomasta) šávgáđ				tiškájeh;		
läikäytys  	tiiškâs  tiškâs      	tiiškâs	läikäytys					tiškâs		
läimiä  	ruáš'kuđ  ruáškum      	ruáš'kuđ	läimiä					ruáškum		
läimäytellä  (kämmenellä)	tuáš'kuđ  tuáškum      	tuáš'kuđ	läimäytellä					tuáškum		(kämmenellä)
läimäyttää  	vuo'idâstiđ  vuoidâst;  (erit. kämmenellä) toškâliđ    	vuo'idâstiđ	läimäyttää	(erit. kämmenellä) toškâliđ				vuoidâst;		
läiskyttää  (käsiään yhteen)	ruám'ččááttiđ  ruám'ččát      	ruám'ččááttiđ	läiskyttää					ruám'ččát		(käsiään yhteen)
läiskyä  (kaadettaessa)	kuo'Râsiđ  kuorrâs      	kuo'Râsiđ	läiskyä					kuorrâs		(kaadettaessa)
läiskähtää  	stilččáđ  stilččáá,  tiäš'káđ tiäš'káám; (erit. nesteestä) ti'škáhittiđ ti'škáhitám    	stilččáđ	läiskähtää	tiäš'káđ tiäš'káám; (erit. nesteestä) ti'škáhittiđ ti'škáhitám				stilččáá,		
läiskäyttää  	(nestettä) ti'škáhittiđ  ti'škáhitám;  (kämmenellä) šliMâliđ šliimmâl    	(nestettä) ti'škáhittiđ	läiskäyttää	(kämmenellä) šliMâliđ šliimmâl				ti'škáhitám;		
läjä  	leeJi  leje,  liäJá liä'já, laaĐâ laađâ    	leeJi	läjä	liäJá liä'já, laaĐâ laađâ				leje,		
läjätä  	leeijiđ  leijiim leijee,  liä'Jádiđ liäJád    	leeijiđ	läjätä	liä'Jádiđ liäJád				leijiim leijee,		
läjäyttää  (jtak t. jhk niin että kuuluu ääni)	teškâliđ  teškâl      	teškâliđ	läjäyttää					teškâl		(jtak t. jhk niin että kuuluu ääni)
läkkipelti  	muái'đoo  muáiđoo      	muái'đoo	läkki				pelti	muáiđoo		
läksy  	liäk'su  liävsu      	liäk'su	läksy					liävsu		
läkähtyä  	(hengästymiseen) silluđ  siLo;  (nauruun t. yskään) soinâđ sooinâm saina; (kuumuuteen) muigâniđ    	(hengästymiseen) silluđ	läkähtyä	(nauruun t. yskään) soinâđ sooinâm saina; (kuumuuteen) muigâniđ				siLo;		
lämmetä  	lieg'gâniđ;    (erit. säästä) kiä'sádittiđ, lihmiđ lihmiim, li'hmádittiđ; (haaleaksi esim. ruoka) maizâđ maaizâm;  (ilma on lämpimämpi kuin eilen) áimu lii ennuv linásub ko jieh't  	lieg'gâniđ;	lämmetä	(erit. säästä) kiä'sádittiđ, lihmiđ lihmiim, li'hmádittiđ; (haaleaksi esim. ruoka) maizâđ maaizâm;	(ilma on lämpimämpi kuin eilen) áimu lii ennuv linásub ko jieh't					
lämmike  	pahâdem;      (ottaa lämmikettä) pahâdistiđ pahâdistám; (ottaa lämmikkeeksi ryyppy) ciär'kkádiđ  	pahâdem;	lämmike		(ottaa lämmikettä) pahâdistiđ pahâdistám; (ottaa lämmikkeeksi ryyppy) ciär'kkádiđ					
lämmin  	liegâs  lieg'gâs # lieg'gâ;  (ja pehmeä vaatteesta) tuáv'ŋáá # -s;   (tuntua lämmin henkäys, lämpimältä) šliäđ'muđ šliäđ'mu, lie'gistiđ lieggist  	liegâs	lämmin	(ja pehmeä vaatteesta) tuáv'ŋáá # -s;	 (tuntua lämmin henkäys, lämpimältä) šliäđ'muđ šliäđ'mu, lie'gistiđ lieggist			lieg'gâs # lieg'gâ;		
lämmin  vyöhyke	lieg'gâstielâs  -stiellâs      	lieg'gâ	lämmin			stielâs		-stiellâs		vyöhyke
lämminsydäminen  	läđisváimusâš  -váimusii      	läđis	lämmin			váimusâš	sydäminen	-váimusii		
lämmittävä  	pihtel  # -is;  (tasaisesti lämmittävä tulesta) päštil # -is    	pihtel	lämmittävä	(tasaisesti lämmittävä tulesta) päštil # -is				# -is;		
lämmittää  	(lisätä lämpöä jhkin) lie'gâdiđ  lieggâd,  lieg'giđ lieg'giim lieg'gee, pahâdiđ paahâd; (haaleaksi esim. ruoka) maiziđ maiziim, lobâdiđ loobbâd; (tuottaa lämmin tunne esim. vaate) linestiđ liineest;  (haaleaksi lämmitetty esim. ruoka) maaizâs maizâs  	(lisätä lämpöä jhkin) lie'gâdiđ	lämmittää	lieg'giđ lieg'giim lieg'gee, pahâdiđ paahâd; (haaleaksi esim. ruoka) maiziđ maiziim, lobâdiđ loobbâd; (tuottaa lämmin tunne esim. vaate) linestiđ liineest;	(haaleaksi lämmitetty esim. ruoka) maaizâs maizâs			lieggâd,		
lämmitys  	lieg'giittâs,    lieg'gim    	lieg'giittâs,	lämmitys	lieg'gim						
lämmityshuone  	lieg'gimviste  -vi'ste      	lieg'gim	lämmitys			viste	huone	-vi'ste		
lämpiö  	artistviste  -vi'ste      	artist	lämpiö			viste		-vi'ste		
lämpö  	lie'gâsvuotâ  lie'gâsvuođâ;  (tulen) tuLâ-~tuulâ-~tullâpaaštâ -paštuu    	lie'gâsvuotâ	lämpö	(tulen) tuLâ-~tuulâ-~tullâpaaštâ -paštuu				lie'gâsvuođâ;		
längensija  (vetoeläimellä)	välmi  väälmi      	välmi	längen				sija	väälmi		(vetoeläimellä)
länget  (mon.)	leeŋgih  (mon.)      	leeŋgih	länget					(mon.)		(mon.)
lännenmaarianheinä  HIerochloe odorata	uár'jihaJâsyei'ni  -syeini      	uár'ji	lännen			haJâsyei'ni	maarianheinä	-syeini		HIerochloe odorata
länsi  	fiestâr  fies'târ  ~ viestâr vies'târ, uár'ji;  (lännessä, -stä) orjâlâšpiegâpeln  	fiestâr	länsi	~ viestâr vies'târ, uár'ji;	(lännessä, -stä) orjâlâšpiegâpeln			fies'târ		
länsipuolella, -lta  	vie'stârpeln,    uárjibeln    	vie'stâr	länsi	uárjibeln		peln,	puolella, -lta			
läpi  	čoođâ;      (mennä läpi, kuoriutua) čolgâđ čoolgâm  	čoođâ;	läpi		(mennä läpi, kuoriutua) čolgâđ čoolgâm					
läpikulku  	čoođâjotteem        	čoođâ	läpi			jotteem	kulku			
läpinäkyvä  	čoođâčyev'vee        	čoođâ	läpi			čyev'vee	näkyvä			
läpipääsemätön  (esim. tiheikkö t. metsä puiden t. kivien takia)	rooHâd  # rohâdis ~ rohis      	rooHâd	läpi				pääsemätön	# rohâdis ~ rohis		(esim. tiheikkö t. metsä puiden t. kivien takia)
läppä  (sydämessä)	uuvsâh        	uuvsâh	läppä							(sydämessä)
läpäisemätön  (esim. vettä t. tuulta)	jehhee~-jieh'hee        	jehhee~-jieh'hee	läpäisemätön							(esim. vettä t. tuulta)
läpäistä  	(konkr. ja kuv.) čođâttiđ  čođâttâm čoođât,  čođâldittiđ čođâlditám    	(konkr. ja kuv.) čođâttiđ	läpäistä	čođâldittiđ čođâlditám				čođâttâm čoođât,		
läsnäolo  	miel'diorroom        	miel'di	läsnä			orroom	olo			
lässyttää  (puhua lapsenkielisesti)	ucástittiđ        	ucástittiđ	lässyttää							(puhua lapsenkielisesti)
lätkiä  	tiäš'kuđ  tiäškum      	tiäš'kuđ	lätkiä					tiäškum		
lätkä  	fášku  fáášku      	fášku	lätkä					fáášku		
läträtä  	stuljiđ  stuljiim stuljee      	stuljiđ	läträtä					stuljiim stuljee		
lätsä  	loccâ  loocâ,  šävkki šäävhi    	loccâ	lätsä	šävkki šäävhi				loocâ,		
lätty  	pánnukákku  -kááhu,  lettu    	pánnu	lätty	lettu		kákku		-kááhu,		
lätäkkö  	láddu  láádu      	láddu	lätäkkö					láádu		
lävistys  	saggim        	saggim	lävistys							
lävistää  	saggiđ  saggiim säggee      	saggiđ	lävistää					saggiim säggee		
lävitse  	čoođâ        	čoođâ	lävitse							
läähättää  	saađđâđ  saađâm,  soohâđ sooVâm saha, šye'hkistiđ šyehkist    	saađđâđ	läähättää	soohâđ sooVâm saha, šye'hkistiđ šyehkist				saađâm,		
lääke  	taalhâs  talkkâs,  lekittâs    	taalhâs	lääke	lekittâs				talkkâs,		
lääkeaine  	ta'lhâsaamnâs  -amnâs      	ta'lhâs	lääke			aamnâs	aine	-amnâs		
lääketiede  	ta'lhâstieđâ  -tiet'tuu      	ta'lhâs	lääke			tieđâ	tiede	-tiet'tuu		
lääkintävoimistelu  	tá'lhudemlá'šmuttâllâm        	tá'lhudem	lääkintä			lá'šmuttâllâm	voimistelu			
lääkitä  	tá'lhudiđ  táálhud,  tálkkuđ táálhum    	tá'lhudiđ	lääkitä	tálkkuđ táálhum				táálhud,		
lääkäri  	tuáh'tár;      (johtava t. ylilääkäri) njuNoštuáh'tár  	tuáh'tár;	lääkäri		(johtava t. ylilääkäri) njuNoštuáh'tár					
lääkärintodistus  	tuáh'tártuo'đâštus        	tuáh'tár	lääkärin			tuo'đâštus	todistus			
lääni  	leeNâ  leenâ,  lääni    	leeNâ	lääni	lääni				leenâ,		
lääte  Saussurea alpina	njaalânjuovčâ  -njuoh'čâm      	njaalâ	lääte			njuovčâ		-njuoh'čâm		Saussurea alpina
läävä  	puvre  puuvre ~ pu'vre      	puvre	läävä					puuvre ~ pu'vre		
löhöillä  	liäs'sáástâllâđ  liäs'sáástâlâm      	liäs'sáástâllâđ	löhöillä					liäs'sáástâlâm		
löhötä  	liäs'sáđ  liäs'sáám      	liäs'sáđ	löhötä					liäs'sáám		
lököpaita  (roikkuu housujen päällä)	lápčupäiđi  -pääiđi      	lápču	lökö			päiđi	paita	-pääiđi		(roikkuu housujen päällä)
löntystää  	luág'guđ  luágum      	luág'guđ	löntystää					luágum		
lörpötellä  	huá'lištiđ  huálišt,  huá'lšistiđ huálšist, hutârdiđ huuttârd, šlobârdiđ šloobbârd, šuá'mbistiđ šuámbist    	huá'lištiđ	lörpötellä	huá'lšistiđ huálšist, hutârdiđ huuttârd, šlobârdiđ šloobbârd, šuá'mbistiđ šuámbist				huálišt,		
lörpöttelijä  	šloobâr  šlobbâr      	šloobâr	lörpöttelijä					šlobbâr		
lössi  	kovjâeennâm        	kovjâ	lössi			eennâm				
löyhentää  (esim. kengänpauloja)	ložâdiđ  loožžâd      	ložâdiđ	löyhentää					loožžâd		(esim. kengänpauloja)
löyhkä  	šliäMu  šliämu      	šliäMu	löyhkä					šliämu		
löyhkäseitikki  Cortinarius camphoratus	faainâseitik        	faainâ	löyhkä			seitik	seitikki			Cortinarius camphoratus
löyhkätä  	se'vđijdiđ  seevđijd  ~ se'vđidiđ seevđiid, šliämmuđ šliäMu    	se'vđijdiđ	löyhkätä	~ se'vđidiđ seevđiid, šliämmuđ šliäMu				seevđijd		
löyhkävalmuska  Tricholoma inamoenum	faainâšoovkâh  -šovkkâh      	faainâ	löyhkä			šoovkâh	valmuska	-šovkkâh		Tricholoma inamoenum
löyhkäävä  	haijii  # -s      	haijii	löyhkäävä					# -s		
löyhtyä  	luáž'žuđ  luážui      	luáž'žuđ	löyhtyä					luážui		
löyhä  	(väljä) luátis  luát'tá,  loožâs ložžâs # ložžâ; (heikko) raŠe raše # rašes    	(väljä) luátis	löyhä	loožâs ložžâs # ložžâ; (heikko) raŠe raše # rašes				luát'tá,		
löyhähtää  (hajusta)	šliä'mádiđ  šliämáád      	šliä'mádiđ	löyhähtää					šliämáád		(hajusta)
löyhäpäinen  (erit. porosta)	uá'ivittem  # uá'ivittes      	uá'ivittem	löyhä				päinen	# uá'ivittes		(erit. porosta)
löyly  	liev'lâ  lievlâ      	liev'lâ	löyly					lievlâ		
löystyä  	ložžâđ  loožâm luáž'žá,  luát'tuđ luátum; (esim. ruuvista, langasta t. siimasta, joka purkautuu kerältä) nuo'lâsiđ nuollâs, nuol'luđ nuál'loo, nuá'Lusiđ nuállus    	ložžâđ	löystyä	luát'tuđ luátum; (esim. ruuvista, langasta t. siimasta, joka purkautuu kerältä) nuo'lâsiđ nuollâs, nuol'luđ nuál'loo, nuá'Lusiđ nuállus				loožâm luáž'žá,		
löysä  	loožâs  ložžâs # ložžâ,  luátis luát'tá; (vetelä) njarbâd # nja'rbis; (mureneva, hauras esim. puuaines) smiäRu smiäru # smiä'rus;  (löysällä esim. hihna) ložžâ  	loožâs	löysä	luátis luát'tá; (vetelä) njarbâd # nja'rbis; (mureneva, hauras esim. puuaines) smiäRu smiäru # smiä'rus;	(löysällä esim. hihna) ložžâ			ložžâs # ložžâ,		
löytyä  	kavnuđ  kávnoo;  (tulla löydetyksi) ka'vnâđâttâđ ka'vnâđât    	kavnuđ	löytyä	(tulla löydetyksi) ka'vnâđâttâđ ka'vnâđât				kávnoo;		
löytää  	kavnâđ  kaavnâm;  (tavata, osua kohdalle) teivâđ teeivâm tiäi'vá; (jäljet) vyet'tiđ vuátám; (osata kulkea jhk eksymättä) täiđiđ tááiđám;  (löytää aikaa jhk) o'stâstuđ o'stâstuum  	kavnâđ	löytää	(tavata, osua kohdalle) teivâđ teeivâm tiäi'vá; (jäljet) vyet'tiđ vuátám; (osata kulkea jhk eksymättä) täiđiđ tááiđám;	(löytää aikaa jhk) o'stâstuđ o'stâstuum			kaavnâm;		
löytötavara  	kávnustäävvir        	kávnus	löytö			täävvir	tavara			
